
Name and rank.	 Company.	 Regiment.

Second Brigade, Brigadier

General J. H. H. Ward.

Sergt. William Garvie.	 A	 38th New York

 	 Volunteers.

Sergt. Henry Quinn.	 A	 Do.

Corpl. George Traver.	 A	 Do.

Sergt. Robinson Hooper.	 B	 Do.

Private Hobart G. Acker.	 B	 Do.

Sergt. Fritz Miladophsky.	 C	 Do.

Sergt. Jacob Schaffer.	 C	 Do.

Private Henry Liehte.	 C	 Do.

Sergt. John Brothers.	 D	 Do.

Corpl. Charles Stone.	 D	 Do.

Sergt. G. Garing.	 E	 Do.

Sergt. Denis McCarthy.	 E	 Do.

Corpl. Jos. Walsh.	 E	 Do.

Sergt. C. F. Morgan.	 F	 Do.

Sergt. William Morris.	 F	 Do.

Sergt. Jos Mayan.	 G	 Do.

Private Louis Fredolf.	 G	 Do.

Sergt. Robert Moll.	 H	 Do.

Private Jacob Geiss.	 H	 Do.

Private Fred. Brandhorst.	 H	 Do.

Sergt. John Kavanaugh.	 I	 Do.

Corpl. John O'Connor.	 I	 Do.

Private John Meister.	 I	 Do.

Sergt. William Germond.	 K	 Do.

Corpl. Hugh W. Burns.	 K	 Do.

Sergt. Major Jacob D.	 ...	 40th New York

Bennett.	 	 Volunteers.

Sergt. Thomas Walton.	 A	 Do.

Corpl. Gustavus Voss.	 A	 Do.

Private Job Shermann.	 A	 Do.

Sergt. Henry K. Brown.	 B	 Do.

Color-Sergt. Andre J.	 B	 Do.

Wadleigh.

Sergt. Allen Smith.	 C	 Do.

Sergt. W. J. Miller.	 C	 Do.

Sergt. Daniel H. Mayer.	 C	 Do.

Sergt. Washington Peel.	 D	 Do.

Private Edward Clifford.	 D	 Do.

Sergt. Edwin J. Sweet.	 E	 Do.

Sergt. Andrew Hollywood.	 E	 Do.

Sergt. Thomas Crawford.	 F	 Do.

Sergt. Anthony Collis.	 F	 Do.

Sergt. Philip M. Harden.	 G	 Do.

Corpl. G. W. Chamberlain.	 G	 Do.

Sergt. Thomas Braslin.	 H	 Do.

Sergt. James Shuter.	 H	 Do.

Private William Gilbert.	 H	 Do.

Sergt. William Moyne.	 I	 Do.

Private Isaac Garrison.	 I	 Do.

Private Patrick Farrell.	 I	 Do.

Sergt. William Edwards.	 K	 Do.

Sergt. John Curtin.	 K	 Do.

Sergt. William B. Parris.	 A	 3rd Maine

 	 Volunteers.

Private J. L. Little.	 A	 Do.

Sergt. H. Johnson.	 B	 Do.

Corpl. A. C. Rowe.	 B	 Do.

Sergt. L. Crawford.	 C	 Do.

Sergt. G. M. Houghton.	 C	 Do.

Corpl. D. Maxey.	 C	 Do.

Sergt. H. H. Shaw.	 D	 Do.

Corpl. A. Kennerson.	 D	 Do.

Sergt. G. L. Chamberlain.	 E	 Do.

Corpl. C. J. Dalton.	 E	 Do.

Private H. J. Roach.	 E	 Do.

Sergt. O. M. Nason.	 F	 Do.

Sergt. J. Durgin.	 F	 Do.

Private A. Luce.	 F	 Do.

Sergt. G. E. Davis.	 G	 Do.

Sergt. H. C. Weber.	 G	 Do.

Corpl. P. F. Rowe.	 H	 Do.

Private R. Cochrane.	 H	 Do.

Sergt. N. W. Jones.	 I	 Do.

Private L. W. Brann.	 I	 Do.

Private Lamuel Powell.	 I	 Do.

Sergt. B. W. Smart.	 K	 Do.

Corpl. A. G. Wood.	 K	 Do.

Corpl. W. G. Wilson.	 K	 Do.

Private James Gall.	 A	 4th Maine

 	 Volunteers.

Private Horace Speed.	 A	 Do.

Sergt. Henry O. Kipley.	 B	 Do.

Private Robert Grant.	 B	 Do.

Corpl. George G. Gardner.	 C	 Do.

